,Roll,Eng,Math,Sci,Total,Avg,Grade
260281,871508,95,95,93,283,94.33333333333333,A+
260345,62233,95,91,90,276,92.0,A+
260443,148111,85,99,87,271,90.33333333333333,A+
260569,410694,75,100,99,274,91.33333333333333,A+
260749,356248,95,98,89,282,94.0,A+
261233,111904,92,88,98,278,92.66666666666667,A+
261369,720728,90,93,94,277,92.33333333333333,A+
261408,776935,97,91,94,282,94.0,A+
261422,495148,90,97,94,281,93.66666666666667,A+
261745,165696,82,92,99,273,91.0,A+
261960,99468,83,87,100,270,90.0,A+
262103,102451,94,94,86,274,91.33333333333333,A+
262297,693490,97,80,100,277,92.33333333333333,A+
262492,394180,83,92,99,274,91.33333333333333,A+
262543,693282,97,81,96,274,91.33333333333333,A+
262555,142835,84,95,95,274,91.33333333333333,A+
262561,437443,100,91,86,277,92.33333333333333,A+
262806,335185,93,87,94,274,91.33333333333333,A+
262823,523848,98,96,91,285,95.0,A+
263071,141483,94,98,86,278,92.66666666666667,A+
263486,977417,90,92,98,280,93.33333333333333,A+
263532,725369,82,96,97,275,91.66666666666667,A+
264037,462125,92,98,80,270,90.0,A+
264230,124230,92,91,96,279,93.0,A+
264282,284774,87,90,95,272,90.66666666666667,A+
264534,1047692,97,91,96,284,94.66666666666667,A+
264752,840956,79,100,97,276,92.0,A+
265032,157772,98,82,98,278,92.66666666666667,A+
265085,224135,72,98,100,270,90.0,A+
265638,757565,91,100,92,283,94.33333333333333,A+
265739,1045729,95,84,93,272,90.66666666666667,A+
265834,419155,94,100,78,272,90.66666666666667,A+
266008,748828,89,92,96,277,92.33333333333333,A+
266292,75880,94,90,100,284,94.66666666666667,A+
266542,711276,100,94,99,293,97.66666666666667,A+
266563,690977,74,96,100,270,90.0,A+
266690,946626,99,86,96,281,93.66666666666667,A+
266720,197091,91,97,92,280,93.33333333333333,A+
266780,282304,96,92,99,287,95.66666666666667,A+
266995,830244,96,94,97,287,95.66666666666667,A+
267009,108345,100,84,88,272,90.66666666666667,A+
267231,498639,98,92,91,281,93.66666666666667,A+
267327,69765,85,90,95,270,90.0,A+
267485,948124,98,83,98,279,93.0,A+
268051,798230,96,91,88,275,91.66666666666667,A+
268422,1012083,90,94,89,273,91.0,A+
268794,22008,86,89,97,272,90.66666666666667,A+
268860,209002,100,97,100,297,99.0,A+
269053,182399,93,100,82,275,91.66666666666667,A+
269162,137699,98,81,94,273,91.0,A+
269690,933327,84,98,91,273,91.0,A+
269693,236711,97,90,88,275,91.66666666666667,A+
269867,1019475,95,82,93,270,90.0,A+
270054,892033,94,95,99,288,96.0,A+
270144,564689,89,100,82,271,90.33333333333333,A+
270184,304150,86,92,99,277,92.33333333333333,A+
270199,285245,98,99,93,290,96.66666666666667,A+
270239,669803,93,98,82,273,91.0,A+
270278,168600,99,87,94,280,93.33333333333333,A+
270564,964430,91,92,94,277,92.33333333333333,A+
270753,478915,98,91,86,275,91.66666666666667,A+
270775,994560,83,100,89,272,90.66666666666667,A+
270970,397280,97,76,99,272,90.66666666666667,A+
271319,982130,83,98,89,270,90.0,A+
271425,376461,95,99,89,283,94.33333333333333,A+
271517,700056,82,93,95,270,90.0,A+
271663,656940,75,95,100,270,90.0,A+
271694,676774,99,84,98,281,93.66666666666667,A+
271807,552541,97,95,91,283,94.33333333333333,A+
272132,496792,99,95,89,283,94.33333333333333,A+
272184,1036454,90,98,94,282,94.0,A+
272383,963489,91,92,96,279,93.0,A+
274132,57690,94,87,92,273,91.0,A+
274565,670079,93,95,94,282,94.0,A+
274720,525095,88,94,98,280,93.33333333333333,A+
274792,723381,98,88,94,280,93.33333333333333,A+
274810,460304,83,98,95,276,92.0,A+
274844,42520,98,100,85,283,94.33333333333333,A+
275336,1003743,91,97,86,274,91.33333333333333,A+
275343,346178,100,80,98,278,92.66666666666667,A+
275729,52426,96,93,99,288,96.0,A+
275836,600366,95,95,97,287,95.66666666666667,A+
276086,876118,95,97,99,291,97.0,A+
276294,944431,84,100,100,284,94.66666666666667,A+
276336,47009,86,93,93,272,90.66666666666667,A+
276668,460402,73,98,100,271,90.33333333333333,A+
276813,622211,100,84,92,276,92.0,A+
276931,896105,99,79,93,271,90.33333333333333,A+
276991,961985,83,95,97,275,91.66666666666667,A+
277057,482797,100,97,79,276,92.0,A+
277158,340174,100,80,92,272,90.66666666666667,A+
277529,798506,96,89,100,285,95.0,A+
277618,561425,93,81,99,273,91.0,A+
277724,362460,95,97,99,291,97.0,A+
277760,1037213,95,85,100,280,93.33333333333333,A+
277900,425123,93,99,90,282,94.0,A+
278246,382594,77,100,97,274,91.33333333333333,A+
278279,847485,94,91,88,273,91.0,A+
278593,863308,96,99,85,280,93.33333333333333,A+
278945,520387,97,92,86,275,91.66666666666667,A+
278949,418129,75,99,98,272,90.66666666666667,A+
279025,99064,86,99,92,277,92.33333333333333,A+
279454,450007,91,94,85,270,90.0,A+
279568,610130,85,92,97,274,91.33333333333333,A+
279886,773542,96,85,98,279,93.0,A+
280091,571899,85,86,99,270,90.0,A+
280167,568291,98,100,100,298,99.33333333333333,A+
280241,169988,89,85,97,271,90.33333333333333,A+
280403,20859,87,90,95,272,90.66666666666667,A+
281126,916709,92,91,90,273,91.0,A+
281156,459356,74,99,100,273,91.0,A+
281178,731654,97,87,90,274,91.33333333333333,A+
281267,993344,92,99,97,288,96.0,A+
281351,822589,78,96,99,273,91.0,A+
281528,509455,96,87,88,271,90.33333333333333,A+
281545,800597,95,86,100,281,93.66666666666667,A+
281700,146791,94,99,93,286,95.33333333333333,A+
281749,648704,91,86,93,270,90.0,A+
281848,642419,91,85,95,271,90.33333333333333,A+
282079,613487,86,96,100,282,94.0,A+
282160,782908,98,94,86,278,92.66666666666667,A+
282673,179740,99,90,97,286,95.33333333333333,A+
282745,681744,94,100,86,280,93.33333333333333,A+
282898,140500,84,98,98,280,93.33333333333333,A+
282994,185890,100,95,79,274,91.33333333333333,A+
283076,529716,99,99,81,279,93.0,A+
283462,80880,95,96,80,271,90.33333333333333,A+
283815,467048,91,98,92,281,93.66666666666667,A+
284228,490012,90,94,98,282,94.0,A+
284360,521188,97,90,88,275,91.66666666666667,A+
284481,129213,90,84,97,271,90.33333333333333,A+
284682,45797,97,97,80,274,91.33333333333333,A+
284905,267911,95,84,95,274,91.33333333333333,A+
285052,198766,91,96,84,271,90.33333333333333,A+
285111,449665,100,94,83,277,92.33333333333333,A+
285210,398674,97,74,99,270,90.0,A+
285334,122065,100,85,86,271,90.33333333333333,A+
285748,410664,100,88,97,285,95.0,A+
285874,3654,88,95,98,281,93.66666666666667,A+
285939,933572,84,98,89,271,90.33333333333333,A+
286150,922359,83,92,99,274,91.33333333333333,A+
286277,1037786,99,97,83,279,93.0,A+
286855,613461,96,99,82,277,92.33333333333333,A+
287137,561859,96,92,86,274,91.33333333333333,A+
287338,856466,96,99,83,278,92.66666666666667,A+
287389,438904,99,87,94,280,93.33333333333333,A+
287444,495001,96,86,96,278,92.66666666666667,A+
287507,607446,86,95,100,281,93.66666666666667,A+
287647,155307,93,98,86,277,92.33333333333333,A+
287934,76833,96,99,97,292,97.33333333333333,A+
288078,870310,92,86,98,276,92.0,A+
288145,655441,91,87,93,271,90.33333333333333,A+
288425,126884,100,86,97,283,94.33333333333333,A+
288574,403369,100,89,93,282,94.0,A+
289352,835067,97,99,87,283,94.33333333333333,A+
289506,939436,84,97,100,281,93.66666666666667,A+
289895,826691,98,100,89,287,95.66666666666667,A+
290564,779032,90,98,96,284,94.66666666666667,A+
291351,380919,92,90,100,282,94.0,A+
291487,165659,97,80,100,277,92.33333333333333,A+
291566,733464,96,83,98,277,92.33333333333333,A+
291676,647524,100,87,95,282,94.0,A+
291764,536063,89,99,90,278,92.66666666666667,A+
291765,1045937,95,83,97,275,91.66666666666667,A+
291931,313535,100,77,98,275,91.66666666666667,A+
292564,118746,92,88,100,280,93.33333333333333,A+
292596,803011,88,96,87,271,90.33333333333333,A+
292948,629969,94,96,80,270,90.0,A+
293664,83528,94,92,84,270,90.0,A+
293693,222851,82,99,99,280,93.33333333333333,A+
294057,482051,97,87,86,270,90.0,A+
294110,681243,91,90,91,272,90.66666666666667,A+
294176,721639,99,90,95,284,94.66666666666667,A+
294267,415169,92,94,84,270,90.0,A+
294404,125129,98,79,98,275,91.66666666666667,A+
294645,310758,96,95,80,271,90.33333333333333,A+
294702,294348,88,98,88,274,91.33333333333333,A+
294742,719468,82,95,93,270,90.0,A+
294815,683627,93,98,82,273,91.0,A+
295140,95567,85,94,93,272,90.66666666666667,A+
295155,571140,79,99,93,271,90.33333333333333,A+
295225,487004,88,89,95,272,90.66666666666667,A+
295329,603331,94,93,86,273,91.0,A+
295629,681243,75,100,97,272,90.66666666666667,A+
295689,1003401,100,97,83,280,93.33333333333333,A+
295881,836309,94,86,91,271,90.33333333333333,A+
295948,461099,73,97,100,270,90.0,A+
296270,967078,89,87,97,273,91.0,A+
296883,124817,99,80,91,270,90.0,A+
297235,741430,90,94,89,273,91.0,A+
297341,377703,76,97,98,271,90.33333333333333,A+
297660,616978,93,91,96,280,93.33333333333333,A+
298301,456610,100,93,87,280,93.33333333333333,A+
298473,562391,98,100,95,293,97.66666666666667,A+
298496,230125,100,100,83,283,94.33333333333333,A+
298555,144749,98,80,100,278,92.66666666666667,A+
298735,235176,98,91,93,282,94.0,A+
299575,439113,98,86,98,282,94.0,A+
299706,909971,92,91,90,273,91.0,A+
299923,267422,94,84,100,278,92.66666666666667,A+
300186,784346,99,99,100,298,99.33333333333333,A+
300244,308026,94,87,89,270,90.0,A+
300331,188996,92,100,86,278,92.66666666666667,A+
300524,580385,93,84,95,272,90.66666666666667,A+
300695,679806,98,80,96,274,91.33333333333333,A+
300711,39304,97,96,78,271,90.33333333333333,A+
300886,312813,95,91,86,272,90.66666666666667,A+
301527,148179,84,97,95,276,92.0,A+
302040,307225,79,99,93,271,90.33333333333333,A+
302190,204624,82,96,97,275,91.66666666666667,A+
302285,245436,81,99,91,271,90.33333333333333,A+
303315,987474,83,100,89,272,90.66666666666667,A+
303386,41218,95,92,88,275,91.66666666666667,A+
303521,644803,93,93,86,272,90.66666666666667,A+
303637,517208,89,95,96,280,93.33333333333333,A+
303804,403858,100,89,88,277,92.33333333333333,A+
304014,1014010,91,99,99,289,96.33333333333333,A+
304108,105857,83,87,100,270,90.0,A+
304360,196046,92,98,92,282,94.0,A+
304462,15271,86,88,97,271,90.33333333333333,A+
304488,388598,92,90,98,280,93.33333333333333,A+
304607,331247,95,93,92,280,93.33333333333333,A+
304768,953749,83,97,95,275,91.66666666666667,A+
305287,660693,94,99,91,284,94.66666666666667,A+
305618,757743,99,97,100,296,98.66666666666667,A+
306024,528342,96,89,96,281,93.66666666666667,A+
306050,316079,99,73,99,271,90.33333333333333,A+
306138,161342,84,100,89,273,91.0,A+
306172,940726,99,85,92,276,92.0,A+
306311,7958,98,98,95,291,97.0,A+
306421,959685,84,99,93,276,92.0,A+
306594,495080,91,99,86,276,92.0,A+
306760,226108,100,98,75,273,91.0,A+
307044,414039,89,84,97,270,90.0,A+
307216,682258,99,87,94,280,93.33333333333333,A+
307399,1045497,98,94,95,287,95.66666666666667,A+
307488,469799,90,93,98,281,93.66666666666667,A+
307518,567753,87,93,93,273,91.0,A+
307522,524122,89,97,86,272,90.66666666666667,A+
307557,1031116,98,95,91,284,94.66666666666667,A+
307958,55807,94,89,96,279,93.0,A+
308032,50194,88,100,86,274,91.33333333333333,A+
308054,755884,98,90,99,287,95.66666666666667,A+
308105,583185,94,90,94,278,92.66666666666667,A+
308185,912870,85,97,93,275,91.66666666666667,A+
308267,351412,91,83,99,273,91.0,A+
308444,329052,96,97,91,284,94.66666666666667,A+
308541,932386,84,98,93,275,91.66666666666667,A+
308829,213429,99,92,97,288,96.0,A+
309247,689313,100,90,80,270,90.0,A+
309621,509070,96,87,94,277,92.33333333333333,A+
309774,275138,79,95,96,270,90.0,A+
309871,832800,97,100,98,295,98.33333333333333,A+
309980,648508,94,97,88,279,93.0,A+
309993,252583,87,86,97,270,90.0,A+
310009,116025,84,95,91,270,90.0,A+
310181,740593,90,94,94,278,92.66666666666667,A+
310469,184515,82,95,99,276,92.0,A+
310659,442181,98,84,90,272,90.66666666666667,A+
311049,538441,98,97,78,273,91.0,A+
311182,426938,93,99,78,270,90.0,A+
311294,411397,84,98,95,277,92.33333333333333,A+
311489,664276,84,94,95,273,91.0,A+
311570,901075,94,95,82,271,90.33333333333333,A+
311649,455039,92,98,80,270,90.0,A+
311713,686274,92,94,86,272,90.66666666666667,A+
312223,169131,93,98,86,277,92.33333333333333,A+
312742,613565,96,98,84,278,92.66666666666667,A+
313058,958572,100,92,80,272,90.66666666666667,A+
313163,22998,89,99,88,276,92.0,A+
313185,503775,99,96,87,282,94.0,A+
313313,111207,92,89,98,279,93.0,A+
313554,388383,99,81,92,272,90.66666666666667,A+
313879,430455,91,91,91,273,91.0,A+
314052,107013,91,85,99,275,91.66666666666667,A+
314811,830372,78,95,98,271,90.33333333333333,A+
314815,724189,91,97,98,286,95.33333333333333,A+
315061,660834,94,100,87,281,93.66666666666667,A+
315197,330691,95,95,88,278,92.66666666666667,A+
315596,656359,93,94,96,283,94.33333333333333,A+
315829,302994,93,83,95,271,90.33333333333333,A+
316009,885919,85,95,93,273,91.0,A+
316408,41891,98,100,93,291,97.0,A+
316679,110302,93,91,94,278,92.66666666666667,A+
316845,188746,83,100,91,274,91.33333333333333,A+
317038,466032,99,90,84,273,91.0,A+
317135,580886,96,94,90,280,93.33333333333333,A+
317197,154464,100,88,88,276,92.0,A+
317199,345658,85,93,93,271,90.33333333333333,A+
317315,446437,89,87,99,275,91.66666666666667,A+
317691,772025,100,100,81,281,93.66666666666667,A+
317962,741509,100,96,74,270,90.0,A+
318119,518088,98,96,83,277,92.33333333333333,A+
318166,1022532,100,98,89,287,95.66666666666667,A+
318185,900263,99,82,98,279,93.0,A+
318558,856883,96,97,91,284,94.66666666666667,A+
318636,112637,92,88,91,271,90.33333333333333,A+
318831,718032,89,86,97,272,90.66666666666667,A+
319391,697451,93,98,82,273,91.0,A+
319448,193881,100,93,82,275,91.66666666666667,A+
319858,363297,95,97,95,287,95.66666666666667,A+
320417,173283,100,91,89,280,93.33333333333333,A+
320962,556546,95,87,100,282,94.0,A+
321692,885320,92,85,93,270,90.0,A+
321726,668513,94,99,84,277,92.33333333333333,A+
321816,788796,79,95,97,271,90.33333333333333,A+
321889,211967,100,95,89,284,94.66666666666667,A+
321904,701248,91,92,87,270,90.0,A+
321984,341017,94,90,90,274,91.33333333333333,A+
322357,306730,70,100,100,270,90.0,A+
322597,976120,97,83,98,278,92.66666666666667,A+
322709,634880,91,86,93,270,90.0,A+
322978,246249,99,96,87,282,94.0,A+
323051,51056,94,87,94,275,91.66666666666667,A+
323117,238802,96,87,88,271,90.33333333333333,A+
323207,739381,100,97,81,278,92.66666666666667,A+
323564,385345,91,85,97,273,91.0,A+
323684,683174,93,99,80,272,90.66666666666667,A+
323719,707925,93,100,99,292,97.33333333333333,A+
323783,301050,88,97,94,279,93.0,A+
323818,942682,91,92,98,281,93.66666666666667,A+
323849,424041,93,99,97,289,96.33333333333333,A+
323924,896417,98,77,100,275,91.66666666666667,A+
323948,108345,85,95,93,273,91.0,A+
323994,919913,90,85,97,272,90.66666666666667,A+
324339,788772,97,93,97,287,95.66666666666667,A+
324354,712902,97,82,98,277,92.33333333333333,A+
324374,876344,99,77,95,271,90.33333333333333,A+
324628,24766,94,83,99,276,92.0,A+
324630,240905,98,94,87,279,93.0,A+
324908,166949,97,79,97,273,91.0,A+
324918,492819,100,100,94,294,98.0,A+
325188,199709,99,91,99,289,96.33333333333333,A+
325276,961704,98,83,100,281,93.66666666666667,A+
325477,293933,97,96,97,290,96.66666666666667,A+
326091,674750,91,90,89,270,90.0,A+
326339,871929,95,97,80,272,90.66666666666667,A+
326349,1019035,98,93,91,282,94.0,A+
326432,28232,96,91,84,271,90.33333333333333,A+
326470,404592,85,100,87,272,90.66666666666667,A+
326831,183652,92,97,86,275,91.66666666666667,A+
326868,134074,100,85,98,283,94.33333333333333,A+
327177,844857,92,82,99,273,91.0,A+
327354,279124,96,90,86,272,90.66666666666667,A+
328149,717524,92,99,86,277,92.33333333333333,A+
328424,260910,98,96,83,277,92.33333333333333,A+
328472,26973,95,90,100,285,95.0,A+
328575,293657,98,99,85,282,94.0,A+
328609,214755,98,91,88,277,92.33333333333333,A+
328630,63835,78,99,99,276,92.0,A+
329563,287855,88,98,86,272,90.66666666666667,A+
329822,281331,97,96,87,280,93.33333333333333,A+
329958,738465,90,96,100,286,95.33333333333333,A+
330420,936495,98,80,100,278,92.66666666666667,A+
330531,400783,92,92,100,284,94.66666666666667,A+
330560,913297,94,98,78,270,90.0,A+
330570,690953,92,94,100,286,95.33333333333333,A+
330796,725589,100,94,95,289,96.33333333333333,A+
331072,834609,88,100,88,276,92.0,A+
331638,76711,100,79,94,273,91.0,A+
331894,545143,97,97,85,279,93.0,A+
332256,86500,95,96,93,284,94.66666666666667,A+
332370,473815,98,89,84,271,90.33333333333333,A+
332557,765727,97,89,84,270,90.0,A+
332591,713740,81,93,99,273,91.0,A+
332781,742445,98,91,93,282,94.0,A+
332796,49974,94,87,100,281,93.66666666666667,A+
332995,655001,94,98,90,282,94.0,A+
333362,822013,98,100,74,272,90.66666666666667,A+
333446,191956,91,94,96,281,93.66666666666667,A+
333561,188152,99,90,88,277,92.33333333333333,A+
333820,489590,97,86,88,271,90.33333333333333,A+
334141,417890,84,99,98,281,93.66666666666667,A+
334146,267227,98,95,95,288,96.0,A+
334228,613621,77,97,99,273,91.0,A+
334356,81566,100,81,98,279,93.0,A+
334470,562452,96,92,84,272,90.66666666666667,A+
334616,200925,90,92,91,273,91.0,A+
335185,305550,95,89,96,280,93.33333333333333,A+
335302,618231,93,89,100,282,94.0,A+
335370,487365,91,98,94,283,94.33333333333333,A+
335385,176970,74,96,100,270,90.0,A+
335609,456568,90,93,96,279,93.0,A+
335697,469934,81,94,97,272,90.66666666666667,A+
335889,751225,94,77,99,270,90.0,A+
336026,250266,99,99,96,294,98.0,A+
336335,195398,95,77,99,271,90.33333333333333,A+
336479,746487,96,84,96,276,92.0,A+
336779,994169,73,100,98,271,90.33333333333333,A+
336799,182955,92,98,86,276,92.0,A+
336801,256227,97,92,88,277,92.33333333333333,A+
337538,478878,98,90,92,280,93.33333333333333,A+
337603,197306,100,95,93,288,96.0,A+
337664,637117,100,84,86,270,90.0,A+
337733,963690,97,81,98,276,92.0,A+
337786,586224,87,97,94,278,92.66666666666667,A+
337970,508317,100,99,85,284,94.66666666666667,A+
337978,431372,93,99,95,287,95.66666666666667,A+
337989,931450,94,99,93,286,95.33333333333333,A+
338235,800156,98,97,97,292,97.33333333333333,A+
338469,357593,92,85,95,272,90.66666666666667,A+
338662,164418,100,92,95,287,95.66666666666667,A+
339164,295644,97,96,82,275,91.66666666666667,A+
339490,104017,93,90,96,279,93.0,A+
339686,756097,98,93,82,273,91.0,A+
340016,441564,100,93,97,290,96.66666666666667,A+
340167,605177,78,100,93,271,90.33333333333333,A+
340256,414503,92,93,98,283,94.33333333333333,A+
340295,920897,99,85,86,270,90.0,A+
340331,814567,88,97,98,283,94.33333333333333,A+
340398,1019476,80,92,98,270,90.0,A+
340490,952324,93,98,99,290,96.66666666666667,A+
340491,406818,99,83,98,280,93.33333333333333,A+
340639,193307,96,80,100,276,92.0,A+
340658,226342,90,94,96,280,93.33333333333333,A+
341035,74932,100,80,100,280,93.33333333333333,A+
341191,558649,96,94,99,289,96.33333333333333,A+
341252,932600,93,97,95,285,95.0,A+
341267,785654,72,100,100,272,90.66666666666667,A+
341897,248401,88,92,98,278,92.66666666666667,A+
341899,811705,96,92,88,276,92.0,A+
342221,317564,95,94,88,277,92.33333333333333,A+
342222,987646,82,98,99,279,93.0,A+
342857,600781,86,97,87,270,90.0,A+
343021,390830,76,98,98,272,90.66666666666667,A+
343025,711831,92,97,86,275,91.66666666666667,A+
343081,266107,89,98,90,277,92.33333333333333,A+
343283,892100,85,97,89,271,90.33333333333333,A+
343316,410254,94,100,91,285,95.0,A+
343528,368030,99,79,96,274,91.33333333333333,A+
343747,329785,96,97,84,277,92.33333333333333,A+
343841,252955,99,100,73,272,90.66666666666667,A+
343967,711275,92,98,82,272,90.66666666666667,A+
344039,350012,98,75,97,270,90.0,A+
344095,639667,92,90,89,271,90.33333333333333,A+
344303,164552,92,93,94,279,93.0,A+
344726,418129,90,88,93,271,90.33333333333333,A+
344836,430425,84,100,100,284,94.66666666666667,A+
344993,297699,96,92,88,276,92.0,A+
345374,300431,98,100,79,277,92.33333333333333,A+
345416,1038955,95,83,100,278,92.66666666666667,A+
345445,560397,97,96,78,271,90.33333333333333,A+
345527,493889,82,100,93,275,91.66666666666667,A+
346000,689002,93,97,97,287,95.66666666666667,A+
346222,290576,96,91,94,281,93.66666666666667,A+
346245,719615,91,96,86,273,91.0,A+
346652,608320,86,96,89,271,90.33333333333333,A+
346753,326705,79,100,99,278,92.66666666666667,A+
346828,779271,81,99,97,277,92.33333333333333,A+
346854,703553,83,98,93,274,91.33333333333333,A+
346941,914306,93,95,84,272,90.66666666666667,A+
346994,2370,98,96,97,291,97.0,A+
347098,1030205,90,98,90,278,92.66666666666667,A+
347499,377256,85,98,93,276,92.0,A+
347656,793895,95,87,94,276,92.0,A+
347716,511900,89,94,89,272,90.66666666666667,A+
347879,877995,86,96,98,280,93.33333333333333,A+
348265,142975,84,96,91,271,90.33333333333333,A+
348920,726866,97,83,94,274,91.33333333333333,A+
349277,519060,97,92,95,284,94.66666666666667,A+
349679,336536,99,74,97,270,90.0,A+
349736,674610,75,100,99,274,91.33333333333333,A+
349738,271647,87,89,95,271,90.33333333333333,A+
349869,687449,97,79,99,275,91.66666666666667,A+
350855,285942,98,98,93,289,96.33333333333333,A+
350862,719530,88,83,99,270,90.0,A+
351027,88585,85,93,95,273,91.0,A+
351205,210805,97,87,88,272,90.66666666666667,A+
351322,722086,89,90,100,279,93.0,A+
351541,471370,90,93,87,270,90.0,A+
351766,1025320,98,94,89,281,93.66666666666667,A+
352051,843848,78,96,98,272,90.66666666666667,A+
352256,1036429,100,100,77,277,92.33333333333333,A+
352499,529668,80,99,93,272,90.66666666666667,A+
352804,521842,87,89,97,273,91.0,A+
353029,1028518,88,88,99,275,91.66666666666667,A+
353041,208298,99,92,80,271,90.33333333333333,A+
353185,339171,94,93,88,275,91.66666666666667,A+
353413,1012926,99,93,82,274,91.33333333333333,A+
353659,282689,97,93,93,283,94.33333333333333,A+
353902,147824,75,98,98,271,90.33333333333333,A+
354023,844587,87,95,89,271,90.33333333333333,A+
354045,556350,98,98,95,291,97.0,A+
354105,1019580,80,92,100,272,90.66666666666667,A+
354482,186374,99,91,95,285,95.0,A+
354762,696529,89,86,99,274,91.33333333333333,A+
355247,235476,95,80,99,274,91.33333333333333,A+
355535,809334,97,94,97,288,96.0,A+
355949,887765,100,82,90,272,90.66666666666667,A+
355970,182559,74,98,98,270,90.0,A+
356025,26037,97,95,82,274,91.33333333333333,A+
356374,974280,92,96,98,286,95.33333333333333,A+
356596,511203,89,95,90,274,91.33333333333333,A+
356710,322058,93,86,93,272,90.66666666666667,A+
356790,776378,97,92,90,279,93.0,A+
356800,429721,91,91,98,280,93.33333333333333,A+
356802,298947,86,90,95,271,90.33333333333333,A+
356846,257352,99,99,96,294,98.0,A+
357471,717335,89,87,97,273,91.0,A+
357573,937026,92,91,92,275,91.66666666666667,A+
357575,862777,87,98,98,283,94.33333333333333,A+
358381,780909,80,97,95,272,90.66666666666667,A+
358472,180828,93,100,93,286,95.33333333333333,A+
359050,18413,79,94,98,271,90.33333333333333,A+
359138,471724,99,92,84,275,91.66666666666667,A+
359200,1021511,98,91,84,273,91.0,A+
359330,546120,98,97,76,271,90.33333333333333,A+
359364,346197,96,100,100,296,98.66666666666667,A+
359755,2614,98,96,95,289,96.33333333333333,A+
359782,753609,96,85,90,271,90.33333333333333,A+
359846,469566,100,97,77,274,91.33333333333333,A+
359906,578844,100,75,97,272,90.66666666666667,A+
359932,656982,100,85,86,271,90.33333333333333,A+
360025,663054,99,83,100,282,94.0,A+
360036,15111,90,100,86,276,92.0,A+
360477,232529,99,96,89,284,94.66666666666667,A+
360755,939368,100,88,86,274,91.33333333333333,A+
360923,862422,93,88,96,277,92.33333333333333,A+
361018,31276,97,97,80,274,91.33333333333333,A+
361082,355808,98,76,99,273,91.0,A+
361139,724928,100,96,89,285,95.0,A+
361375,196779,92,98,86,276,92.0,A+
361377,380643,93,93,88,274,91.33333333333333,A+
361929,696565,90,87,93,270,90.0,A+
362251,794609,99,100,72,271,90.33333333333333,A+
362351,130160,99,82,92,273,91.0,A+
362536,858833,95,93,94,282,94.0,A+
362542,610332,91,80,99,270,90.0,A+
362803,352744,85,93,93,271,90.33333333333333,A+
363142,974867,82,96,99,277,92.33333333333333,A+
363248,1038520,99,98,76,273,91.0,A+
363261,1007486,100,98,100,298,99.33333333333333,A+
363311,362380,93,89,91,273,91.0,A+
363339,197654,100,95,93,288,96.0,A+
363511,52805,87,94,95,276,92.0,A+
363669,621056,92,86,93,271,90.33333333333333,A+
363765,586438,96,95,95,286,95.33333333333333,A+
363922,955387,98,85,88,271,90.33333333333333,A+
364055,743350,98,89,96,283,94.33333333333333,A+
364068,981042,89,88,93,270,90.0,A+
364435,671326,98,82,96,276,92.0,A+
364471,1023712,90,97,88,275,91.66666666666667,A+
364677,462719,99,93,95,287,95.66666666666667,A+
364864,32114,97,97,76,270,90.0,A+
365094,839525,95,90,98,283,94.33333333333333,A+
365169,218240,97,87,88,272,90.66666666666667,A+
365186,951902,100,90,88,278,92.66666666666667,A+
365300,183684,91,95,100,286,95.33333333333333,A+
365351,687247,91,90,98,279,93.0,A+
365455,691778,89,84,97,270,90.0,A+
365552,449928,97,81,96,274,91.33333333333333,A+
365939,530188,95,86,98,279,93.0,A+
366132,312392,94,89,98,281,93.66666666666667,A+
366553,591910,78,99,97,274,91.33333333333333,A+
366720,255285,97,93,91,281,93.66666666666667,A+
366755,689319,93,100,82,275,91.66666666666667,A+
366836,364900,94,94,99,287,95.66666666666667,A+
366939,134287,85,99,87,271,90.33333333333333,A+
367014,1023229,99,97,89,285,95.0,A+
367025,493620,100,98,96,294,98.0,A+
367244,276147,94,82,97,273,91.0,A+
367297,131701,92,91,90,273,91.0,A+
367542,650458,93,94,92,279,93.0,A+
367745,740176,91,96,86,273,91.0,A+
367785,412931,99,86,86,271,90.33333333333333,A+
367830,766436,99,98,83,280,93.33333333333333,A+
368019,894014,100,82,94,276,92.0,A+
368049,158836,94,100,99,293,97.66666666666667,A+
368543,725099,92,99,82,273,91.0,A+
368548,358443,94,95,90,279,93.0,A+
368669,495184,91,99,88,278,92.66666666666667,A+
368690,557853,98,100,77,275,91.66666666666667,A+
368724,815441,88,98,88,274,91.33333333333333,A+
369040,590730,87,99,98,284,94.66666666666667,A+
369181,1003120,100,96,91,287,95.66666666666667,A+
369491,217403,97,87,92,276,92.0,A+
369569,422115,92,94,88,274,91.33333333333333,A+
369708,72149,87,99,85,271,90.33333333333333,A+
369836,228989,88,90,99,277,92.33333333333333,A+
369868,694823,75,100,99,274,91.33333333333333,A+
369878,827492,97,99,91,287,95.66666666666667,A+
370220,724085,91,97,96,284,94.66666666666667,A+
370271,93751,100,83,100,283,94.33333333333333,A+
370435,883229,77,99,99,275,91.66666666666667,A+
370478,452172,83,100,95,278,92.66666666666667,A+
370583,724750,92,99,82,273,91.0,A+
371051,850279,87,97,89,273,91.0,A+
371080,562624,80,100,99,279,93.0,A+
371138,982338,98,86,88,272,90.66666666666667,A+
371375,378692,94,97,84,275,91.66666666666667,A+
371639,226977,99,95,85,279,93.0,A+
